Species;Botanic_Garden;Species_ID;Year;InitGr;LeafUnf;FlOn;FlPeak;FlMaxInt;FlEnd;FlDur;FrOn;FrEnd;SenOn;SenPeak;SenMaxInt;SenEnd
Helianthemum nummularium;Halle;Hel_num_Hal;2020;49;7;127;155;75;330;203;189;350;7;343;75;350
Helianthemum nummularium;Jena;Hel_num_Jen;2020;44;10;134;169;60;317;183;204;351;2;2;75;358
Helichrysum arenarium;Jena;Hel_are_Jen;2020;15;2;127;218;90;281;154;2;351;2;317;40;344
Helleborus niger;Leipzig;Hel_nig_Lei;2020;71;113;NA;NA;NA;NA;NA;NA;NA;225;253;NA;NA
Helleborus niger;Jena;Hel_nig_Jen;2020;281;2;2;92;95;114;112;NA;NA;38;288;50;344
Helleborus orientalis;Jena;Hel_ori_Jen;2020;NA;182;38;57;95;114;76;155;169;2;162;25;358
Helleborus orientalis;Halle;Hel_ori_Hal;2020;78;92;30;56;95;92;62;133;162;155;310;80;350
Helleborus viridis;Halle;Hel_vir_Hal;2020;7;7;35;56;95;92;57;155;210;155;310;100;310
Helleborus viridis;Leipzig;Hel_vir_Lei;2020;NA;NA;NA;65;NA;99;NA;NA;NA;155;211;NA;NA
Hemerocallis dumortieri;Leipzig;Hem_dum_Lei;2020;NA;NA;NA;58;NA;99;NA;NA;NA;225;260;NA;NA
Hemerocallis fulva;Jena;Hem_ful_Jen;2020;10;2;162;176;60;204;42;2;267;2;323;100;323
Hemerocallis fulva;Halle;Hem_ful_Hal;2020;30;56;168;182;75;196;28;NA;NA;141;343;100;343
Anemone hepatica;Jena;Ane_hep_Jen;2020;38;23;71;99;90;106;35;NA;NA;148;NA;NA;148
Anemone transsilvanica;Leipzig;Ane_tra_Lei;2020;NA;99;NA;169;NA;176;NA;218;NA;141;NA;NA;NA
Hibiscus moschatus;Halle;Hib_mos_Hal;2020;127;141;232;239;90;260;28;282;315;246;323;100;323
Hibiscus moschatus;Jena;Hib_mos_Jen;2020;85;85;260;267;50;302;42;2;358;2;2;100;358
Hibiscus moschatus;Leipzig;Hib_mos_Lei;2020;NA;169;239;253;NA;266;27;260;NA;NA;NA;NA;NA
Homogyne sylvestris;Jena;Hom_syl_Jen;2020;30;10;NA;NA;NA;NA;NA;189;189;2;2;75;351
Honckenya peploides;Halle;Hon_pep_Hal;2020;92;98;NA;NA;NA;NA;NA;NA;NA;162;323;100;323
Humulus lupulus;Leipzig;Hum_lup_Lei;2020;NA;92;NA;NA;NA;NA;NA;NA;NA;218;245;NA;NA
Humulus lupulus;Halle;Hum_lup_Hal;2020;72;85;NA;NA;NA;NA;NA;NA;NA;204;323;95;330
Humulus lupulus;Jena;Hum_lup_Jen;2020;30;79;218;239;95;281;63;267;309;162;309;60;309
Hyacinthoides non-scripta;Halle;Hya_non_Hal;2020;35;49;119;133;100;141;22;189;196;155;196;100;196
Hydrocotyle vulgaris;Jena;Hyd_vul_Jen;2020;NA;162;NA;NA;NA;NA;NA;NA;NA;239;330;90;337
Hypericum olympicum;Jena;Hyp_oly_Jen;2020;64;57;120;162;60;182;62;204;204;309;317;10;323
Hypericum olympicum;Halle;Hyp_oly_Hal;2020;30;7;148;162;75;273;125;196;350;7;7;50;350
Hypericum olympicum;Leipzig;Hyp_oly_Lei;2020;71;99;NA;162;NA;183;NA;204;NA;NA;NA;NA;NA
Hypericum perforatum;Halle;Hyp_per_Hal;2020;64;7;162;182;75;239;77;225;302;239;302;50;315
Hypericum perforatum;Jena;Hyp_per_Jen;2020;38;44;162;189;60;253;91;232;302;189;274;80;296
Iberis sempervirens;Halle;Ibe_sem_Hal;2020;35;7;30;113;100;148;118;155;330;7;7;25;350
Iberis sempervirens;Leipzig;Ibe_sem_Lei;2020;NA;NA;92;106;NA;155;63;155;NA;225;58;NA;NA
Iberis sempervirens;Jena;Ibe_sem_Jen;2020;15;2;79;114;95;155;76;189;211;2;15;50;344
Iris pseudacorus;Leipzig;Iri_pse_Lei;2020;NA;99;NA;148;NA;169;NA;NA;NA;232;NA;NA;NA
Iris pseudacorus;Jena;Iri_pse_Jen;2020;71;114;127;127;95;127;0;NA;NA;232;323;100;344
Iris pseudacorus;Halle;Iri_pse_Hal;2020;15;113;148;155;75;168;20;287;302;189;323;100;323
Knautia arvensis;Jena;Kna_arv_Jen;2020;NA;NA;NA;NA;NA;323;0;344;358;323;358;90;358
Lamium album;Jena;Lam_alb_Jen;2020;15;15;2;120;75;344;342;23;344;2;351;90;358
Lamium album;Halle;Lam_alb_Hal;2020;56;7;98;119;95;273;175;NA;NA;168;350;80;350
Lamium galeobdolon;Halle;Lam_gal_Hal;2020;56;7;113;119;75;210;97;NA;NA;189;260;15;350
Lathyrus pratensis;Jena;Lat_pra_Jen;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;317;323;100;337
Lathyrus vernus;Jena;Lat_ver_Jen;2020;30;71;114;114;25;114;0;NA;NA;2;239;100;344
Lathyrus vernus;Leipzig;Lat_ver_Lei;2020;58;NA;NA;113;NA;127;NA;120;NA;225;NA;NA;NA
Lathyrus vernus;Halle;Lat_ver_Hal;2020;64;85;98;113;50;127;29;155;176;182;337;99;350
Lavandula angustifolia;Jena;Lav_ang_Jen;2020;64;57;162;169;80;218;56;232;323;2;2;50;323
Lavandula angustifolia;Leipzig;Lav_ang_Lei;2020;58;99;NA;169;NA;211;NA;197;NA;239;NA;NA;NA
Lavandula angustifolia;Halle;Lav_ang_Hal;2020;78;15;182;196;50;294;112;210;350;218;343;95;350
Leonurus cardiaca;Leipzig;Leo_car_Lei;2020;NA;106;NA;169;NA;197;NA;204;NA;274;NA;NA;NA
Leonurus cardiaca;Halle;Leo_car_Hal;2020;35;7;162;168;95;210;48;210;287;155;225;10;287
Leonurus cardiaca;Jena;Leo_car_Jen;2020;64;79;162;189;60;204;42;218;358;218;358;100;358
Leucojum aestivum;Halle;Leu_aes_Hal;2020;92;98;113;113;95;133;20;NA;NA;162;176;100;176
Leucojum vernum;Halle;Leu_ver_Hal;2020;35;43;49;56;100;64;15;155;155;127;168;100;168
Leucojum vernum;Leipzig;Leu_ver_Lei;2020;NA;NA;NA;58;NA;85;NA;NA;NA;113;120;NA;NA
Linum perenne;Jena;Lin_per_Jen;2020;30;30;120;134;95;281;161;2;302;2;196;75;358
Linum usitatissimum;Leipzig;Lin_usi_Lei;2020;NA;85;NA;141;NA;169;NA;176;NA;218;NA;NA;NA
Lotus maritimus;Jena;Lot_mar_Jen;2020;52;10;148;155;95;204;56;211;330;2;2;75;302
Lunaria rediviva;Halle;Lun_red_Hal;2020;15;78;NA;NA;NA;NA;NA;NA;NA;7;350;100;350
Lupinus polyphyllus;Leipzig;Lup_pol_Lei;2020;NA;99;NA;NA;NA;NA;NA;NA;NA;225;260;NA;NA
Lupinus polyphyllus;Halle;Lup_pol_Hal;2020;30;92;NA;NA;NA;NA;NA;NA;NA;141;141;50;148
Lysichiton americanus;Jena;Lys_ame_Jen;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;330;330;100;337
Lysichiton americanus;Leipzig;Lys_ame_Lei;2020;58;NA;NA;127;NA;148;NA;155;NA;225;245;NA;NA
Lysichiton camtschatcensis;Jena;Lys_cam_Jen;2020;106;114;NA;NA;NA;NA;NA;NA;NA;176;296;100;323
Lysichiton camtschatcensis;Halle;Lys_cam_Hal;2020;72;106;113;119;75;119;6;NA;NA;189;273;100;273
Papaver grande;Halle;Pap_gra_Hal;2020;72;78;NA;NA;NA;NA;NA;NA;NA;273;343;100;350
Mentha longifolia;Halle;Men_lon_Hal;2020;43;72;196;218;75;287;91;282;287;204;287;20;287
Menyanthes trifoliata;Leipzig;Men_tri_Lei;2020;71;120;NA;NA;NA;NA;NA;NA;NA;239;274;NA;NA
Menyanthes trifoliata;Jena;Men_tri_Jen;2020;99;114;141;141;25;155;14;NA;NA;204;323;100;337
Menyanthes trifoliata;Halle;Men_tri_Hal;2020;15;106;113;119;95;133;20;168;218;182;343;100;343
Mercurialis perennis;Jena;Mer_per_Jen;2020;NA;162;NA;NA;NA;NA;NA;NA;NA;351;351;60;351
Myriophyllum aquaticum;Leipzig;Myr_aqu_Lei;2020;58;113;NA;148;NA;169;NA;NA;NA;225;239;NA;NA
Narcissus pseudonarcissus;Halle;Nar_pse_Hal;2020;7;43;78;78;100;98;20;NA;NA;127;168;100;168
Oenothera biennis;Jena;Oen_bie_Jen;2020;10;10;169;182;50;317;148;218;358;218;302;90;358
Oenothera fruticosa;Halle;Oen_fru_Hal;2020;7;7;168;168;75;210;42;204;302;189;315;100;315
Oenothera macrocarpa;Halle;Oen_mac_Hal;2020;72;113;182;182;75;253;71;NA;NA;196;343;100;343
Origanum vulgare;Jena;Ori_vul_Jen;2020;38;38;182;204;75;246;64;246;344;225;323;100;344
Oxalis acetosella;Halle;Oxa_ace_Hal;2020;43;72;78;119;95;127;49;NA;NA;7;56;95;350
Paeonia daurica;Halle;Pae_dau_Hal;2020;92;113;NA;NA;NA;NA;NA;NA;NA;204;273;100;282
Paeonia daurica subsp. mlokosewitschii;Jena;Pae_dau_mlo_Jen;2020;52;71;NA;NA;NA;NA;NA;204;204;155;246;100;253
Paeonia daurica subsp. tomentosa;Halle;Pae_dau_tom_Hal;2020;64;78;113;113;75;119;6;155;196;162;189;75;196
Paeonia daurica subsp. wittmanniana;Jena;Pae_dau_wit_Jen;2020;52;79;120;120;75;127;7;211;260;211;253;60;260
Paeonia delavayi;Jena;Pae_del_Jen;2020;44;120;134;148;50;169;35;274;358;281;358;90;358
Paeonia delavayi;Halle;Pae_del_Hal;2020;49;113;141;141;5;148;7;273;294;168;337;100;337
Paeonia officinalis;Jena;Pae_off_Jen;2020;71;79;120;120;75;127;7;211;296;211;323;100;358
Paeonia officinalis;Leipzig;Pae_off_Lei;2020;65;106;NA;NA;NA;141;NA;NA;NA;225;239;NA;NA
Paeonia officinalis;Halle;Pae_off_Hal;2020;72;98;127;133;75;141;14;NA;NA;162;196;10;196
Paeonia peregrina;Leipzig;Pae_per_Lei;2020;71;99;NA;155;NA;NA;NA;176;NA;225;58;NA;NA
Paeonia peregrina;Halle;Pae_per_Hal;2020;15;72;127;133;100;133;6;189;239;182;246;100;246
Paeonia peregrina;Jena;Pae_per_Jen;2020;44;79;114;114;25;114;0;NA;NA;155;218;100;288
Penstemon grandiflorus;Leipzig;Pen_gra_Lei;2020;78;113;148;169;NA;204;56;169;NA;245;NA;NA;NA
Petasites hybridus;Jena;Pet_hyb_Jen;2020;44;44;71;79;50;99;28;NA;NA;225;344;100;358
Phlomis russeliana;Jena;Phl_rus_Jen;2020;134;52;155;176;60;218;63;2;358;2;2;50;358
Phlomis russeliana;Halle;Phl_rus_Hal;2020;15;7;155;162;100;176;21;210;350;7;7;50;350
Plantago lanceolata;Halle;Pla_lan_Hal;2020;15;7;148;162;75;294;146;189;302;7;350;80;350
Plantago lanceolata;Jena;Pla_lan_Jen;2020;57;23;120;127;50;267;147;176;317;2;281;90;317
Plantago lanceolata;Leipzig;Pla_lan_Lei;2020;106;120;134;141;NA;155;21;211;NA;245;266;NA;NA
Platycodon grandiflorus;Halle;Pla_gra_Hal;2020;106;113;182;189;75;218;36;253;302;225;294;100;302
Podophyllum peltatum;Leipzig;Pod_pel_Lei;2020;58;NA;71;85;NA;120;49;NA;NA;225;NA;NA;NA
Podophyllum peltatum;Jena;Pod_pel_Jen;2020;NA;38;127;141;25;141;14;NA;NA;NA;NA;NA;NA
Podophyllum peltatum;Halle;Pod_pel_Hal;2020;49;98;127;133;95;133;6;NA;NA;168;273;100;273
Polygonatum multiflorum;Jena;Pol_mul_Jen;2020;106;106;99;162;70;162;63;196;317;218;296;100;351
Polygonatum multiflorum;Halle;Pol_mul_Hal;2020;98;113;141;148;25;148;7;260;337;260;302;100;337
Polygonatum verticillatum;Leipzig;Pol_ver_Lei;2020;65;106;155;176;NA;211;56;190;NA;245;58;NA;NA
Potentilla indica;Jena;Pot_ind_Jen;2020;64;57;64;64;75;155;91;176;176;114;260;90;351
Primula denticulata;Leipzig;Pri_den_Lei;2020;58;106;148;162;NA;176;28;169;NA;225;239;NA;NA
Primula denticulata;Halle;Pri_den_Hal;2020;43;49;72;85;95;127;55;133;182;155;343;100;343
Primula denticulata;Jena;Pri_den_Jen;2020;15;2;44;92;95;134;90;141;169;162;344;100;358
Primula veris;Jena;Pri_ver_Jen;2020;10;10;92;99;50;134;42;155;302;2;218;100;358
Primula veris;Halle;Pri_ver_Hal;2020;43;43;85;98;95;119;34;133;162;133;204;50;350
Primula acaulis;Halle;Pri_aca_Hal;2020;15;7;7;56;95;113;106;155;155;7;7;5;239
Primula acaulis;Jena;Pri_aca_Jen;2020;64;44;52;79;95;106;54;189;189;99;106;25;134
Prunella grandiflora;Leipzig;Pru_gra_Lei;2020;162;NA;NA;NA;NA;169;NA;NA;NA;245;266;NA;NA
Prunella grandiflora;Jena;Pru_gra_Jen;2020;64;79;162;225;50;260;98;204;358;2;2;100;358
Prunella grandiflora;Halle;Pru_gra_Hal;2020;15;7;155;168;95;282;127;196;330;7;343;30;350
Prunella vulgaris;Jena;Pru_vul_Jen;2020;71;15;NA;NA;NA;NA;NA;NA;NA;2;2;95;2
Puschkinia scilloides;Halle;Pus_sci_Hal;2020;43;49;64;78;95;98;34;127;133;113;148;100;155
Ranunculus acris;Jena;Ran_acr_Jen;2020;15;52;120;155;95;196;76;189;302;2;274;100;344
Ranunculus acris;Halle;Ran_acr_Hal;2020;15;7;113;155;95;253;140;189;218;7;350;99;350
Ranunculus bulbosus;Jena;Ran_bul_Jen;2020;38;57;148;155;75;169;21;NA;NA;NA;NA;NA;NA
Ranunculus lanuginosus;Jena;Ran_lan_Jen;2020;15;38;114;120;75;148;34;NA;NA;2;2;50;358
Rheum palmatum;Jena;Rhe_pal_Jen;2020;99;85;NA;NA;NA;NA;NA;NA;NA;169;260;100;337
Rheum rhabarbarum;Jena;Rhe_rha_Jen;2020;57;92;120;134;25;162;42;169;211;169;323;100;337
Roscoea purpurea;Leipzig;Ros_pur_Lei;2020;NA;99;NA;155;NA;169;NA;176;NA;245;260;NA;NA
Rubus chamaemorus;Jena;Rub_cha_Jen;2020;38;57;204;232;70;288;84;225;302;296;323;100;358
Rumex acetosa;Jena;Rum_ace_Jen;2020;52;71;NA;NA;NA;NA;NA;NA;NA;196;337;95;358
Salvia amplexicaulis;Leipzig;Sal_amp_Lei;2020;65;99;NA;148;NA;183;NA;190;NA;225;58;NA;NA
Salvia nemorosa;Jena;Sal_nem_Jen;2020;10;57;169;189;70;309;140;204;323;2;351;60;351
Salvia officinalis;Jena;Sal_off_Jen;2020;30;30;141;211;70;309;168;2;309;2;296;40;344
Salvia officinalis;Leipzig;Sal_off_Lei;2020;78;106;NA;NA;NA;NA;NA;NA;NA;260;NA;NA;NA
Salvia officinalis;Halle;Sal_off_Hal;2020;15;7;133;155;95;210;77;189;282;7;210;40;350
Salvia pratensis;Jena;Sal_pra_Jen;2020;57;71;134;148;70;162;28;169;260;196;337;70;358
Sanguisorba minor;Jena;San_min_Jen;2020;330;317;NA;NA;NA;NA;NA;NA;NA;317;351;100;351
Sanguisorba officinalis;Jena;San_off_Jen;2020;NA;317;NA;NA;NA;NA;NA;323;344;323;344;100;358
Saponaria officinalis;Jena;Sap_off_Jen;2020;23;71;127;189;50;323;196;218;302;211;323;80;323
Saponaria officinalis;Leipzig;Sap_off_Lei;2020;65;106;NA;141;NA;183;NA;NA;NA;274;58;NA;NA
Saponaria officinalis;Halle;Sap_off_Hal;2020;30;72;189;196;75;282;93;218;282;210;273;30;282
Saxifraga paniculata;Leipzig;Sax_pan_Lei;2020;NA;99;197;211;NA;NA;NA;225;NA;274;NA;NA;NA
Saxifraga paniculata;Halle;Sax_pan_Hal;2020;35;35;133;155;100;176;43;182;287;7;310;30;350
Saxifraga paniculata;Jena;Sax_pan_Jen;2020;NA;71;127;141;75;162;35;NA;NA;92;92;30;358
Saxifraga rotundifolia;Halle;Sax_rot_Hal;2020;78;72;113;133;95;168;55;162;225;155;189;25;330
Scabiosa ochroleuca;Leipzig;Sca_och_Lei;2020;58;NA;NA;78;NA;99;NA;NA;NA;155;162;NA;NA
Scopolia carniolica;Halle;Sco_car_Hal;2020;64;72;78;85;50;119;41;NA;NA;133;218;100;218
Scopolia carniolica;Leipzig;Sco_car_Lei;2020;71;106;NA;NA;NA;NA;NA;NA;NA;232;58;NA;NA
Scopolia carniolica;Jena;Sco_car_Jen;2020;64;71;NA;NA;NA;NA;NA;NA;NA;99;218;100;317
Securigera varia;Halle;Sec_var_Hal;2020;15;7;168;182;95;218;50;204;218;7;343;100;343
Securigera varia;Jena;Sec_var_Jen;2020;57;71;169;189;80;225;56;232;267;2;10;100;323
Phedimus spurius;Halle;Phe_spu_Hal;2020;15;7;182;196;50;232;50;246;302;7;7;95;350
Phedimus stoloniferus;Leipzig;Phe_sto_Lei;2020;58;106;NA;134;NA;148;NA;NA;NA;NA;NA;NA;NA
Sempervivum tectorum;Jena;Sem_tec_Jen;2020;10;85;NA;NA;NA;NA;NA;NA;NA;2;330;100;358
Senecio nemorensis;Jena;Sen_nem_Jen;2020;57;57;196;218;70;218;22;218;323;232;267;100;323
Senecio nemorensis;Halle;Sen_nem_Hal;2020;92;98;218;232;95;253;35;253;302;225;294;10;302
Silene acaulis;Jena;Sil_aca_Jen;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Silene coronaria;Halle;Sil_cor_Hal;2020;56;7;162;168;75;204;42;196;302;182;239;50;310
Silene coronaria;Jena;Sil_cor_Jen;2020;52;64;148;196;50;211;63;211;323;2;296;60;351
Silene coronaria;Leipzig;Sil_cor_Lei;2020;65;106;NA;162;NA;NA;NA;197;NA;NA;58;NA;NA
Silene dioica;Halle;Sil_dio_Hal;2020;7;7;113;155;75;239;126;168;260;182;232;90;273
Silene nutans;Jena;Sil_nut_Jen;2020;NA;NA;NA;NA;NA;NA;NA;330;330;323;337;30;344
Silene nutans;Leipzig;Sil_nut_Lei;2020;65;99;NA;141;NA;176;NA;NA;NA;225;NA;NA;NA
Heliosperma pusillum;Leipzig;Hel_pus_Lei;2020;65;106;NA;155;NA;NA;NA;169;NA;253;NA;NA;NA
Viscaria vulgaris;Halle;Vis_vul_Hal;2020;15;7;106;119;75;133;27;148;218;7;225;75;273
Silene vulgaris;Leipzig;Sil_vul_Lei;2020;71;106;NA;169;NA;183;NA;NA;NA;239;253;NA;NA
Silene vulgaris;Halle;Sil_vul_Hal;2020;35;56;162;168;50;287;125;196;282;189;323;100;302
Silene vulgaris;Jena;Sil_vul_Jen;2020;57;64;189;189;80;281;92;225;330;204;337;100;358
Silphium integrifolium;Halle;Sil_int_Hal;2020;78;98;189;225;95;260;71;273;294;204;294;80;294
Silphium integrifolium;Jena;Sil_int_Jen;2020;57;85;189;196;60;330;141;296;358;189;344;100;358
Solanum dulcamara;Halle;Sol_dul_Hal;2020;106;113;148;168;75;246;98;189;337;189;310;100;337
Solidago canadensis;Jena;Sol_can_Jen;2020;38;64;225;239;70;260;35;267;323;267;317;100;323
Solidago virgaurea;Halle;Sol_vir_Hal;2020;78;92;232;273;95;302;70;310;350;302;350;100;350
Solidago virgaurea;Jena;Sol_vir_Jen;2020;10;10;141;162;95;169;28;189;260;239;351;80;358
Tanacetum vulgare;Halle;Tan_vul_Hal;2020;15;7;189;204;100;225;36;239;282;204;282;45;282
Tanacetum vulgare;Jena;Tan_vul_Jen;2020;52;10;204;218;100;232;28;232;267;2;2;95;351
Tanacetum vulgare;Leipzig;Tan_vul_Lei;2020;65;99;183;197;NA;211;28;218;NA;232;245;NA;NA
Thalictrum minus;Leipzig;Tha_min_Lei;2020;99;120;155;169;NA;183;28;197;NA;211;266;NA;NA
Thalictrum minus;Jena;Tha_min_Jen;2020;99;169;176;176;50;182;6;225;323;204;302;100;323
Thymus praecox;Jena;Thy_pra_Jen;2020;38;52;189;196;90;288;99;232;358;344;344;60;351
Thymus pulegioides;Jena;Thy_pul_Jen;2020;38;52;52;196;80;296;244;267;358;267;344;95;358
Thymus serpyllum;Halle;Thy_ser_Hal;2020;64;7;176;182;100;330;154;282;330;7;7;5;350
Thymus serpyllum;Jena;Thy_ser_Jen;2020;NA;57;189;196;55;302;113;274;351;253;358;80;358
Trapa natans;Jena;Tra_nat_Jen;2020;281;148;169;169;5;189;20;NA;NA;176;274;100;337
Trapa natans;Leipzig;Tra_nat_Lei;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Trapa natans;Halle;Tra_nat_Hal;2020;127;127;182;182;25;189;7;NA;NA;162;273;100;273
Trillium sessile;Jena;Tri_ses_Jen;2020;57;85;99;120;100;134;35;182;218;169;218;100;344
Trillium sessile;Leipzig;Tri_ses_Lei;2020;NA;71;85;99;NA;127;42;NA;NA;190;204;NA;NA
Trollius europaeus;Leipzig;Tro_eur_Lei;2020;65;106;NA;148;NA;176;NA;190;NA;225;232;NA;NA
Trollius europaeus;Halle;Tro_eur_Hal;2020;72;85;127;133;95;148;21;182;182;189;282;100;282
Trollius europaeus;Jena;Tro_eur_Jen;2020;44;71;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tulipa saxatilis;Halle;Tul_sax_Hal;2020;7;15;106;113;100;113;7;NA;NA;119;162;100;162
Tulipa sylvestris;Jena;Tul_syl_Jen;2020;10;30;99;99;50;106;7;NA;NA;99;127;100;127
Tulipa sylvestris;Halle;Tul_syl_Hal;2020;7;30;98;98;95;113;15;189;253;113;162;100;253
Tussilago farfara;Halle;Tus_far_Hal;2020;30;98;72;92;95;113;41;119;141;189;337;100;337
Tussilago farfara;Leipzig;Tus_far_Lei;2020;NA;NA;65;NA;NA;NA;NA;99;NA;225;253;NA;NA
Urtica dioica;Leipzig;Urt_dio_Lei;2020;NA;92;NA;141;NA;NA;NA;169;NA;NA;NA;NA;NA
Urtica dioica;Jena;Urt_dio_Jen;2020;52;15;169;169;25;246;77;204;317;2;2;95;317
Vaccinium myrtillus;Leipzig;Vac_myr_Lei;2020;NA;127;NA;NA;NA;NA;NA;NA;NA;190;204;NA;NA
Vaccinium myrtillus;Jena;Vac_myr_Jen;2020;169;30;120;134;90;253;133;274;323;2;323;70;344
Vaccinium oxycoccos;Leipzig;Vac_oxy_Lei;2020;71;99;NA;162;NA;197;NA;218;NA;NA;58;NA;NA
Vaccinium oxycoccos;Jena;Vac_oxy_Jen;2020;64;44;148;169;40;204;56;2;358;2;337;60;337
Vaccinium uliginosum;Halle;Vac_uli_Hal;2020;56;85;113;113;50;119;6;NA;NA;273;343;100;343
Veratrum album;Halle;Ver_alb_Hal;2020;78;92;162;182;95;218;56;NA;NA;141;239;100;246
Veratrum album;Jena;Ver_alb_Jen;2020;57;79;182;218;80;225;43;260;323;189;296;100;337
Veratrum nigrum;Jena;Ver_nig_Jen;2020;52;71;196;218;70;225;29;267;323;189;302;100;337
Veratrum nigrum;Leipzig;Ver_nig_Lei;2020;65;99;197;211;NA;NA;NA;NA;NA;NA;NA;NA;NA
Veratrum nigrum;Halle;Ver_nig_Hal;2020;30;78;204;210;75;225;21;282;302;141;302;99;302
Vinca minor;Halle;Vin_min_Hal;2020;30;72;NA;NA;NA;NA;NA;NA;NA;196;310;10;350
Vinca minor;Leipzig;Vin_min_Lei;2020;65;NA;71;99;NA;141;70;NA;NA;NA;NA;NA;NA
Vinca minor;Jena;Vin_min_Jen;2020;57;30;52;71;50;127;75;NA;NA;2;2;5;309
Vincetoxicum hirundinaria;Jena;Vin_hir_Jen;2020;64;114;120;155;80;253;133;253;323;218;309;100;358
Vincetoxicum hirundinaria;Halle;Vin_hir_Hal;2020;106;113;141;162;95;260;119;273;323;210;323;100;323
Vincetoxicum hirundinaria;Leipzig;Vin_hir_Lei;2020;99;NA;NA;134;NA;197;NA;169;NA;245;NA;NA;NA
Viola odorata;Halle;Vio_odo_Hal;2020;30;56;64;85;95;98;34;NA;NA;155;337;30;350
Achillea millefolium;Halle;Ach_mil_Hal;2021;NA;NA;167;182;100;236;69;250;299;5;307;90;335
Achillea millefolium;Jena;Ach_mil_Jen;2021;20;NA;174;209;90;356;182;223;356;13;356;70;356
Aconitum lycoctonum;Halle;Aco_lyc_Hal;2021;NA;NA;145;161;75;194;49;187;292;5;314;99;356
Aconitum lycoctonum;Jena;Aco_lyc_Jen;2021;NA;NA;181;209;50;223;42;216;300;216;293;95;356
Acorus calamus;Leipzig;Aco_cal_Lei;2021;83;118;NA;160;NA;181;NA;174;NA;230;239;NA;NA
Acorus calamus;Jena;Aco_cal_Jen;2021;NA;NA;160;160;100;167;7;223;244;202;266;90;293
Acorus calamus;Halle;Aco_cal_Hal;2021;5;NA;161;167;100;167;6;230;287;187;314;99;349
Actaea spicata;Jena;Act_spi_Jen;2021;76;90;126;131;100;174;48;195;300;202;293;95;356
Adonis amurensis;Leipzig;Ado_amu_Lei;2021;NA;62;NA;55;NA;89;NA;NA;NA;139;146;NA;NA
Adonis vernalis;Jena;Ado_ver_Jen;2021;NA;NA;126;126;100;131;5;167;174;174;244;95;266
Adonis vernalis;Halle;Ado_ver_Hal;2021;NA;NA;97;111;90;131;34;153;174;161;216;99;222
Aegopodium podagraria;Leipzig;Aeg_pod_Lei;2021;76;97;NA;NA;NA;NA;NA;NA;NA;230;244;NA;NA
Aegopodium podagraria;Jena;Aeg_pod_Jen;2021;NA;NA;160;167;70;181;21;188;237;13;335;90;356
Aegopodium podagraria;Halle;Aeg_pod_Hal;2021;NA;NA;153;161;95;182;29;216;236;182;314;99;342
Agrimonia eupatoria;Jena;Agr_eup_Jen;2021;13;55;146;216;30;230;84;237;300;230;286;95;314
Alchemilla vulgaris;Leipzig;Alc_vul_Lei;2021;55;104;132;146;NA;188;56;202;NA;222;244;NA;NA
Alchemilla xanthochlora;Halle;Alc_xan_Hal;2021;NA;NA;131;153;95;335;204;187;335;5;5;99;356
Alchemilla xanthochlora;Jena;Alc_xan_Jen;2021;NA;NA;146;153;80;314;168;216;356;13;349;80;356
Allium schoenoprasum;Halle;All_sch_Hal;2021;NA;NA;138;153;100;307;169;182;299;131;349;99;356
Allium ursinum;Halle;All_urs_Hal;2021;NA;NA;131;138;100;153;22;161;182;167;182;99;187
Allium ursinum;Leipzig;All_urs_Lei;2021;62;83;125;139;NA;160;35;167;NA;153;160;NA;NA
Allium ursinum;Jena;All_urs_Jen;2021;NA;NA;126;139;90;153;27;174;202;146;195;90;209
Allium victorialis;Jena;All_vic_Jen;2021;NA;NA;160;160;100;160;1;195;273;216;293;95;314
Allium victorialis;Halle;All_vic_Hal;2021;NA;NA;153;161;75;161;8;182;201;167;292;98;299
Althaea officinalis;Halle;Alt_off_Hal;2021;NA;NA;194;222;90;257;63;250;299;216;335;99;335
Althaea officinalis;Jena;Alt_off_Jen;2021;NA;NA;195;223;80;244;49;237;307;237;293;90;307
Amorpha canescens;Halle;Amo_can_Hal;2021;NA;NA;187;194;50;216;29;244;307;230;292;95;307
Anemone nemorosa;Jena;Ane_nem_Jen;2021;NA;NA;97;111;100;126;29;153;160;153;195;80;209
Anemone nemorosa;Leipzig;Ane_nem_Lei;2021;62;83;NA;118;NA;132;NA;NA;NA;153;160;NA;NA
Anemone nemorosa;Halle;Ane_nem_Hal;2021;55;NA;97;111;100;138;41;153;167;161;216;99;230
Pulsatilla vulgaris;Halle;Pul_vul_Hal;2021;NA;NA;97;97;75;118;21;131;182;13;13;99;349
Pulsatilla vulgaris;Leipzig;Pul_vul_Lei;2021;76;118;104;118;NA;132;28;132;NA;222;244;NA;NA
Pulsatilla vulgaris;Jena;Pul_vul_Jen;2021;NA;NA;90;104;90;126;36;160;174;202;314;90;356
