Species,Botanic_Garden,Species_ID,mean_Leaf_area_one_leaf_mm2,mean_SLA_mm2_mg,mean_LDMC_mg_g,mean_veg_height_cm,mean_gen_height_cm,mean_stomataldensity_number_mm,mean_stomatallength_mikrom,mean_stomatalwidth_mikrom,mean_weight_per_seed_mg,mean_CN_ratio
Veratrum nigrum,Jena,Ver_nig_Jen,9023.463333,15.9205708,169.24,NA,NA,20.0304525,52.2575,37.41,13,31.87
Veratrum nigrum,Leipzig,Ver_nig_Lei,14902.07235,14.28044085,186.4342274,45.5,107.5,13.3961625,26.125,8.56875,NA,10
Vicia villosa,Halle,Vic_vil_Hal,NA,NA,NA,NA,NA,131.15481,16.0925,7.3475,NA,NA
Vinca minor,Halle,Vin_min_Hal,201.199,16.62844262,281.5430011,23.4,NA,126.73195,18.7,13.53333333,NA,23.72
Vinca minor,Jena,Vin_min_Jen,NA,21.974,247.85,14,13.8,203.11134,19.855,26.2625,NA,NA
Vinca minor,Leipzig,Vin_min_Lei,318.9957778,23.28644219,247.933345,26.8,24.5,224.1624525,19.01,14.285,NA,17.22
Vincetoxicum hirundinaria,Halle,Vin_hir_Hal,NA,22.362,197.814,63.1,64.6,109.976115,14.4225,8.485,3.16,11.02
Vincetoxicum hirundinaria,Jena,Vin_hir_Jen,435.0166667,31.844,181.142,62.7,62.6,85.3526925,12.905,8.075,1.2143,9.85
Vincetoxicum hirundinaria,Leipzig,Vin_hir_Lei,1545.652106,21.38961168,234.9169326,70.5,70,205.918155,18.24,13.6225,NA,23.05
Viola odorata,Halle,Vio_odo_Hal,892.277,18.65464687,190.7441972,15,4.66,103.341825,20.26,12.63,NA,14.24428523
Viscaria vulgaris,Halle,Vis_vul_Hal,NA,13.964,182.92,22.6,44.2,59.70861,26.725,18.7275,0.06,NA
