Plant_accepted_name,Plant_genus,Plant_family,Plant_order,Leipzig,Halle,Jena,Total_sampling_time
Eschscholzia californica,Eschscholzia,Papaveraceae,Ranunculales,0,3,0,3
Ferula assa-foetida,Ferula,Apiaceae,Apiales,0,3,0,3
Foeniculum vulgare,Foeniculum,Apiaceae,Apiales,0,3,0,3
Genista hispanica,Genista,Fabaceae,Fabales,0,6,0,6
Genista radiata,Genista,Fabaceae,Fabales,0,3,0,3
Geum ternatum,Geum,Rosaceae,Rosales,0,3,0,3
Globularia trichosantha,Globularia,Plantaginaceae,Lamiales,0,3,0,3
Gypsophila paniculata,Gypsophila,Caryophyllaceae,Caryophyllales,0,3,0,3
Helianthemum apenninum,Helianthemum,Cistaceae,Malvales,0,3,0,3
Heuchera grossulariifolia,Heuchera,Saxifragaceae,Saxifragales,0,3,0,3
Hippocrepis emerus,Hippocrepis,Fabaceae,Fabales,0,6,0,6
Hippomarathrum vulgare,Hippomarathrum,Apiaceae,Apiales,0,3,0,3
Hypochaeris radicata,Hypochaeris,Asteraceae,Asterales,0,3,0,3
Impatiens glandulifera,Impatiens,Balsaminaceae,Ericales,0,3,0,3
Inula helenium,Inula,Asteraceae,Asterales,0,3,0,3
Ipheion uniflorum,Ipheion,Amaryllidaceae,Asparagales,0,1,18,19
Knautia dipsacifolia,Knautia,Caprifoliaceae,Dipsacales,3,6,0,9
Lamium orvala,Lamium,Lamiaceae,Lamiales,9,3,15,27
Lamium purpureum,Lamium,Lamiaceae,Lamiales,0,3,0,3
Liatris pycnostachya,Liatris,Asteraceae,Asterales,0,3,0,3
Limnanthes douglasii,Limnanthes,Limnanthaceae,Brassicales,9,3,0,12
Limonium gmelini,Limonium,Plumbaginaceae,Caryophyllales,0,3,3,6
Limonium sinuatum,Limonium,Plumbaginaceae,Caryophyllales,0,3,0,3
Lythrum salicaria,Lythrum,Lythraceae,Myrtales,3,18,0,21
Magnolia stellata,Magnolia,Magnoliaceae,Magnoliales,0,1,0,1
Malcolmia maritima,Malcolmia,Brassicaceae,Brassicales,0,3,0,3
Malva thuringiaca,Malva,Malvaceae,Malvales,0,9,3,12
Marrubium peregrinum,Marrubium,Lamiaceae,Lamiales,0,9,0,9
Melilotus albus,Melilotus,Fabaceae,Fabales,0,6,0,6
Monarda citriodora,Monarda,Lamiaceae,Lamiales,0,3,0,3
Moricandia arvensis,Moricandia,Brassicaceae,Brassicales,0,3,0,3
Muscari armeniacum,Muscari,Asparagaceae,Asparagales,0,4,3,7
Muscari botryoides,Muscari,Asparagaceae,Asparagales,27,30,18,75
Muscari comosum,Muscari,Asparagaceae,Asparagales,0,3,0,3
Nepeta clarkei,Nepeta,Lamiaceae,Lamiales,0,6,0,6
Oenothera odorata,Oenothera,Onagraceae,Myrtales,0,3,0,3
Ornithogalum nutans,Ornithogalum,Asparagaceae,Asparagales,0,6,3,9
Paeonia daurica,Paeonia,Paeoniaceae,Saxifragales,3,3,6,12
Penstemon hartwegii,Penstemon,Plantaginaceae,Lamiales,0,3,0,3
Pentaglottis sempervirens,Pentaglottis,Boraginaceae,Boraginales,0,6,0,6
Phacelia congesta,Phacelia,Hydrophyllaceae,Boraginales,0,3,0,3
Phedimus kamtschaticus,Phedimus,Crassulaceae,Saxifragales,0,3,0,3
Phlomoides tuberosa,Phlomoides,Lamiaceae,Lamiales,0,3,0,3
Pieris japonica,Pieris,Ericaceae,Ericales,0,7,0,7
Potentilla delphinensis,Potentilla,Rosaceae,Rosales,0,3,0,3
Potentilla montana,Potentilla,Rosaceae,Rosales,0,3,0,3
Potentilla sterilis,Potentilla,Rosaceae,Rosales,0,1,0,1
Primula vulgaris,Primula,Primulaceae,Ericales,0,4,3,7
Prunella grandiflora,Prunella,Lamiaceae,Lamiales,0,3,0,3
Prunus tenella,Prunus,Rosaceae,Rosales,0,3,0,3
