Botanical_garden,Plant,Week,Total_floral_abundance,Total_sampling_time
Jena,Linum perenne,32,60,6
Jena,Lomelosia albocincta,29,20,3
Jena,Lonicera floribunda,20,2500,3
Jena,Lonicera floribunda,21,3000,3
Jena,Lotus maritimus,23,30,15
Jena,Lotus maritimus,27,21,15
Jena,Lysimachia vulgaris,26,828,3
Jena,Lysimachia vulgaris,28,120,3
Jena,Malva thuringiaca,28,38,3
Jena,Medicago sativa,27,800,3
Jena,Medicago sativa,32,600,3
Jena,Origanum vulgare,28,1190,15
Jena,Origanum vulgare,29,320,15
Jena,Origanum vulgare,31,250,15
Jena,Origanum vulgare,32,180,15
Jena,Origanum vulgare,33,20,15
Jena,Ornithogalum nutans,15,25,3
Jena,Paeonia daurica,18,2500,3
Jena,Paeonia daurica,19,50,3
Jena,Paeonia daurica,22,63,15
Jena,Paeonia daurica,23,67,15
Jena,Paeonia delavayi,19,50,15
Jena,Paeonia delavayi,20,16,15
Jena,Paeonia delavayi,21,35,15
Jena,Paeonia mascula,17,37,15
Jena,Paeonia officinalis,18,4,15
Jena,Paeonia officinalis,19,23,15
Jena,Papaver,24,30,3
Jena,Papaver nudicaule,22,17,3
Jena,Papaver nudicaule,23,27,3
Jena,Papaver somniferum,24,26,3
Jena,Pentanema helenioides,26,27,3
Jena,Phacelia tanacetifolia,24,1224,3
Jena,Phedimus aizoon,25,1000,3
Jena,Philadelphus pekinensis,20,135,3
Jena,Philadelphus pekinensis,21,750,3
Jena,Philadelphus pekinensis,22,3500,3
Jena,Phlox paniculata,31,60,3
Jena,Pilosella officinarum,23,70,3
Jena,Primula denticulata,14,300,15
Jena,Primula veris,17,175,15
Jena,Primula veris,18,125,15
Jena,Primula vulgaris,14,20,15
Jena,Primula vulgaris,15,15,15
Jena,Pulsatilla vulgaris,14,12,15
Jena,Ranunculus,18,15,3
Jena,Ranunculus,19,100,3
Jena,Ranunculus,20,15,3
Jena,Ranunculus ficaria,14,50,3
Jena,Rhododendron saluenense,18,560,3
Jena,Rosa spinosissima,21,213,3
Jena,Rudbeckia fulgida,28,48,3
Jena,Salvia nutans,25,850,3
Jena,Salvia pratensis,22,254,15
Jena,Salvia pratensis,24,22,15
Jena,Satureja parnassica,32,900,3
Jena,Scabiosa canescens,31,140,3
Jena,Scrophularia versicolor,19,500,3
Jena,Scutellaria altissima,24,320,3
Jena,Scutellaria cordifolia,24,3000,3
Jena,Scutellaria cordifolia,25,1134,3
Jena,Seseli montanum,33,15000,3
Jena,Silene nutans,22,100,15
Jena,Silene nutans,23,72,15
Jena,Solidago flexicaulis,31,160,3
Jena,Solidago flexicaulis,32,1000,3
Jena,Spartium junceum,23,750,3
Jena,Spartium junceum,26,200,3
Jena,Spiraea chamaedryfolia,20,3500,3
Jena,Symphytum bulbosum,15,320,3
Jena,Symphytum officinale,25,500,3
Jena,Teucrium canadense,28,95,3
Jena,Teucrium chamaedrys,28,100,3
Jena,Tilia henryana,32,600,6
Jena,Trifolium,24,3840,3
Jena,Trifolium pratense,21,12500,3
Jena,Trifolium pratense,22,500,3
Jena,Trifolium pratense,26,3000,6
Jena,Trifolium pratense,27,1950,3
Jena,Trifolium pratense,28,1155,3
Jena,Trifolium pratense,29,1496,3
Jena,Trifolium pratense,33,540,3
Jena,Trifolium rubens,24,1600,3
Jena,Tripleurospermum maritimum,32,50,3
Jena,Trommsdorffia maculata,33,1500,3
Jena,Verbascum phoeniceum,18,750,3
Jena,Vicia sepium,18,15,3
Jena,Vicia sepium,20,65,3
Jena,Vinca minor,14,150,15
Jena,Vincetoxicum hirundinaria,23,1020,15
Jena,Vincetoxicum hirundinaria,25,125,15
Jena,Vincetoxicum hirundinaria,28,30,15
Jena,Viscaria vulgaris,20,600,15
Jena,Viscaria vulgaris,21,1000,15
Jena,Viscaria vulgaris,22,12,15
Leipzig,Achillea filipendulina,26,70,3
Leipzig,Achillea filipendulina,27,8,3
Leipzig,Aethionema grandiflorum,20,10000,3
Leipzig,Ajuga reptans,19,700,3
Leipzig,Alisma plantago-aquatica,23,800,3
Leipzig,Alisma plantago-aquatica,24,800,3
Leipzig,Allium senescens,31,180,3
Leipzig,Allium ursinum,19,2250,15
Leipzig,Allium ursinum,20,885,18
Leipzig,Anaphalis margaritacea,32,860,3
Leipzig,Anchusa officinalis,18,55,3
Leipzig,Anchusa officinalis,19,130,3
Leipzig,Anchusa officinalis,20,240,3
Leipzig,Anchusa officinalis,21,80,3
Leipzig,Anemone nemorosa,18,60,15
Leipzig,Anemone sylvestris,19,225,15
Leipzig,Anthericum ramosum,26,125,15
Leipzig,Anthericum ramosum,27,480,15
Leipzig,Anthericum ramosum,28,465,15
Leipzig,Anthericum ramosum,29,320,15
Leipzig,Aquilegia vulgaris,19,50,15
Leipzig,Aquilegia vulgaris,20,94,15
Leipzig,Aquilegia vulgaris,21,120,15
Leipzig,Aquilegia vulgaris,22,80,15
Leipzig,Aquilegia vulgaris,23,40,15
Leipzig,Aquilegia vulgaris,25,40,15
Leipzig,Aquilegia vulgaris,26,18,15
Leipzig,Aster mongolicus,34,195,3
Leipzig,Aurinia saxatilis,18,120,3
Leipzig,Bellis perennis,16,60,3
Leipzig,Bergenia purpurascens,16,160,15
Leipzig,Caltha palustris,15,7,30
Leipzig,Caltha palustris,16,17,15
Leipzig,Caltha palustris,17,30,15
Leipzig,Caltha palustris,18,25,15
Leipzig,Caltha palustris,20,30,15
Leipzig,Caltha palustris,21,20,15
Leipzig,Campanula alliariifolia,26,150,3
Leipzig,Carduus,26,60,3
Leipzig,Carlina vulgaris,32,250,3
Leipzig,Centaurea nigra,32,220,3
Leipzig,Centaurea sadleriana,31,60,3
Leipzig,Centaurea scabiosa,26,120,3
Leipzig,Centaurea scabiosa,27,46,3
Leipzig,Centaurea scabiosa,29,68,3
Leipzig,Centaurea scabiosa,33,55,3
Leipzig,Centranthus ruber,24,750,15
Leipzig,Centranthus ruber,25,750,15
Leipzig,Centranthus ruber,26,1250,15
Leipzig,Centranthus ruber,27,950,15
Leipzig,Centranthus ruber,29,250,15
Leipzig,Centranthus ruber,34,85,15
Leipzig,Cephalaria gigantea,31,58,3
Leipzig,Cephalaria procera,28,230,3
Leipzig,Cephalaria uralensis,29,25,3
Leipzig,Chaenorhinum origanifolium,24,780,3
Leipzig,Cichorium intybus,29,56,3
Leipzig,Cirsium vulgare,32,68,3
Leipzig,Clinopodium album,28,9100,3
Leipzig,Convallaria majalis,20,185,15
Leipzig,Convallaria majalis,21,120,15
Leipzig,Convolvulus tricolor,28,220,6
Leipzig,Coristospermum lucidum,33,6500,3
Leipzig,Corydalis cava,16,600,3
Leipzig,Cuphea viscosissima,31,2200,3
Leipzig,Cuphea viscosissima,33,9500,3
Leipzig,Cuphea viscosissima,34,2600,3
Leipzig,Dasiphora davurica,21,280,3
Leipzig,Dasiphora davurica,24,75,3
Leipzig,Dasiphora fruticosa,25,75,3
Leipzig,Dictamnus albus,23,140,15
Leipzig,Dictamnus albus,24,75,15
Leipzig,Dictamnus albus,25,11,15
Leipzig,Echinacea angustifolia,29,55,3
Leipzig,Echinacea angustifolia,33,75,3
