Plant_family,Pollinator_guild,SES,mean_trait_matching,median_trait_matching,sd_trait_matching,n_trait_pairs,n_plant_taxa,n_pollinator_taxa,Association
Fabaceae,Apidae,-31.46999093584342,0.14598077282237162,0.0793454161276821,0.20933765451920133,180,6,30,Avoidance
Fabaceae,Bombylids,-14.354995122935842,0.15389295419057036,0.10925561939004624,0.17644637421052334,30,6,5,Avoidance
Fabaceae,Coleoptera,-5.12721467730683,0.06721702214311176,0.011575861013401028,0.1363388612844875,84,6,14,Avoidance
Fabaceae,Colletidae,45.48382243814669,0.02667033455799174,0.007676832556363461,0.04618629075598302,60,6,10,Preference
Fabaceae,Halictidae,-13.912008698194738,0.02615769316039034,0.00835183518141398,0.04422305377795729,138,6,23,Avoidance
Fabaceae,Lepidoptera,-9.044185747196842,0.04378992830818053,0.02272777385847093,0.061701770794141804,12,6,2,Avoidance
Fabaceae,Megachilidae,52.47682270718749,0.08230167897983597,0.04076998361733836,0.11405948567535422,168,6,28,Preference
Fabaceae,Melittidae,-5.8360466885602635,0.059068179412981994,0.034694006212946056,0.07923087030587954,18,6,3,Avoidance
Fabaceae,Non-bee Hymenoptera,14.597142243089586,0.04275048704696073,0.01420503039997283,0.07311517555674323,132,6,22,Preference
Fabaceae,Other Diptera,-29.54515483124352,0.03232105862298703,0.00901788287029495,0.06300916010848988,246,6,41,Avoidance
Fabaceae,Syrphids,-2.8407850005788373,0.08106835192624667,0.020100903563016158,0.13230400006075355,120,6,20,Avoidance
Geraniaceae,Andrenidae,2.8681765958410024,3.432130220671619e-21,4.2279383341512904e-22,7.547091708927828e-21,15,1,15,Avoidance
Geraniaceae,Apidae,-14.645556663172764,2.2343970682228e-15,1.3115157211987151e-19,1.0340318527413692e-14,30,1,30,Avoidance
Geraniaceae,Bombylids,12.871901621152276,1.1241313741547703e-18,3.0851064407579934e-19,1.3697621786770065e-18,5,1,5,Preference
Geraniaceae,Coleoptera,-1.2331379787387993,2.046622529640711e-18,6.996073140185222e-23,6.3599604003106545e-18,14,1,14,Avoidance
Geraniaceae,Colletidae,2.1704206461723303,4.680294035962178e-22,1.1406647932073355e-23,7.723822184846708e-22,10,1,10,Avoidance
Geraniaceae,Halictidae,-0.9104034770716789,5.257218118083441e-22,1.8479748131138127e-23,1.3126852220806817e-21,23,1,23,Avoidance
Geraniaceae,Lepidoptera,-0.8715703008806979,7.062208065304953e-22,7.062208065304953e-22,4.034997963425001e-22,2,1,2,Avoidance
Geraniaceae,Megachilidae,16.738749288700316,1.5195340205893427e-19,7.532979980071085e-21,4.840952936637088e-19,28,1,28,Preference
Geraniaceae,Melittidae,5.499999999999976,3.310200428801104e-21,4.549406507700918e-21,2.181633044000848e-21,3,1,3,Preference
Geraniaceae,Non-bee Hymenoptera,-1.2256289569525607,1.8478090851987313e-20,1.2348833406801916e-22,6.222863618048629e-20,22,1,22,Avoidance
Geraniaceae,Other Diptera,-1.5762958772955393,2.0830363953128288e-20,2.5165482276072118e-23,9.043925714527594e-20,41,1,41,Avoidance
Geraniaceae,Syrphids,1.795398676912899,8.064662330128016e-19,1.0381871029017253e-21,2.5074263585697294e-18,20,1,20,Avoidance
Hypericaceae,Andrenidae,-7.219797270953316,4.660010624093294e-12,1.1252819406119604e-13,1.1855180327912285e-11,30,2,15,Avoidance
Hypericaceae,Apidae,4.1509468815680854,3.176475995050787e-8,6.944124960853013e-14,1.9200909453335519e-7,60,2,30,Avoidance
Hypericaceae,Bombylids,-0.4441127052426328,3.5172153637898883e-10,1.0789460820723276e-11,5.98330569832007e-10,10,2,5,Avoidance
