Botanical_garden,Plant_family,Plant,Individual,Week,Total_floral_abundance_family,Total_sampling_time_family
Leipzig,Cistaceae,Helianthemum nummularium,FocalNA,20,80,15
Leipzig,Cistaceae,Helianthemum nummularium,FocalNA,21,60,15
Leipzig,Cistaceae,Helianthemum nummularium,FocalNA,22,50,15
Leipzig,Cistaceae,Helianthemum nummularium,FocalNA,24,8,15
Leipzig,Convolvulaceae,Convolvulus tricolor,Random_census10,28,60,3
Leipzig,Convolvulaceae,Convolvulus tricolor,Random_census6,28,160,3
Leipzig,Crassulaceae,Phedimus aizoon,Random_census7,23,686,3
Leipzig,Ericaceae,Erica herbacea,Random_census3,15,400,3
Leipzig,Ericaceae,Erica herbacea,Random_census3,17,800,3
Leipzig,Ericaceae,Rhododendron brachycarpum,Random_census7,19,620,3
Leipzig,Ericaceae,Rhododendron degronianum,Random_census6,16,160,3
Leipzig,Ericaceae,Rhododendron thomsonii,Random_census1,18,150,3
Leipzig,Ericaceae,Rhododendron wadanum,Random_census2,15,180,6
Leipzig,Euphorbiaceae,Euphorbia characias,Random_census5,15,380,3
Leipzig,Euphorbiaceae,Euphorbia characias,Random_census9,16,400,3
Leipzig,Euphorbiaceae,Euphorbia seguieriana,Random_census5,24,3400,3
Leipzig,Euphorbiaceae,Euphorbia seguieriana,Random_census5,27,7000,3
Leipzig,Euphorbiaceae,Euphorbia seguieriana,Random_census6,25,3200,3
Leipzig,Euphorbiaceae,Euphorbia seguieriana,Random_census7,25,5460,3
Leipzig,Fabaceae,Lathyrus roseus,Random_census6,21,750,3
Leipzig,Fabaceae,Lathyrus vernus,FocalNA,16,100,15
Leipzig,Fabaceae,Lathyrus vernus,FocalNA,17,150,15
Leipzig,Fabaceae,Lathyrus vernus,FocalNA,18,150,15
Leipzig,Fabaceae,Lathyrus vernus,FocalNA,19,75,15
Leipzig,Fabaceae,Lotus herbaceus,Random_census10,26,560,3
Leipzig,Fabaceae,Medicago falcata,Random_census10,31,1200,3
Leipzig,Fabaceae,Trifolium sp,Random_census3,24,6360,3
Leipzig,Fabaceae,Trifolium sp,Random_census3,25,250,3
Leipzig,Fabaceae,Vicia oroboides,Random_census9,20,175,3
Leipzig,Fabaceae,Vicia tenuifolia,Random_census4,23,6000,3
Leipzig,Fabaceae,Vicia tenuifolia,Random_census8,24,8400,3
Leipzig,Geraniaceae,Erodium manescavi,Random_census7,33,120,3
Leipzig,Geraniaceae,Geranium macrorrhizum,Random_census1,20,200,3
Leipzig,Geraniaceae,Geranium macrorrhizum,Random_census3,21,600,3
Leipzig,Geraniaceae,Geranium macrorrhizum,Random_census6,19,60,3
Leipzig,Geraniaceae,Geranium sanguineum,FocalNA,21,110,15
Leipzig,Geraniaceae,Geranium sanguineum,FocalNA,22,130,15
Leipzig,Geraniaceae,Geranium sanguineum,FocalNA,23,170,15
Leipzig,Geraniaceae,Geranium sanguineum,FocalNA,24,185,15
Leipzig,Grossulariaceae,Ribes sanguineum,Random_census2,12,1000,5
Leipzig,Hypericaceae,Hypericum olympicum,FocalNA,23,300,15
Leipzig,Hypericaceae,Hypericum olympicum,FocalNA,24,800,15
Leipzig,Hypericaceae,Hypericum olympicum,FocalNA,25,780,15
Leipzig,Hypericaceae,Hypericum olympicum,FocalNA,26,65,15
Leipzig,Hypericaceae,Hypericum olympicum,FocalNA,27,56,15
Leipzig,Hypericaceae,Hypericum olympicum,FocalNA,28,32,15
Leipzig,Hypericaceae,Hypericum olympicum,FocalNA,29,10,15
Leipzig,Lamiaceae,Ajuga reptans,Random_census4,19,700,3
Leipzig,Lamiaceae,Clinopodium album,Random_census3,28,9100,3
Leipzig,Lamiaceae,Lamium album,FocalNA,20,38,15
Leipzig,Lamiaceae,Lamium flexuosum,Random_census4,15,4,3
Leipzig,Lamiaceae,Lamium hybridum,Random_census6,12,25,5
Leipzig,Lamiaceae,Lamium orvala,Random_census2,19,160,3
Leipzig,Lamiaceae,Lamium orvala,Random_census6,18,320,3
Leipzig,Lamiaceae,Lamium orvala,Random_census8,20,75,3
Leipzig,Lamiaceae,Lavandula angustifolia,FocalNA,26,8500,15
Leipzig,Lamiaceae,Lavandula angustifolia,FocalNA,27,8300,15
Leipzig,Lamiaceae,Lavandula angustifolia,FocalNA,28,7600,15
Leipzig,Lamiaceae,Lavandula angustifolia,FocalNA,29,3300,15
Leipzig,Lamiaceae,Monarda fistulosa,Random_census3,29,960,3
Leipzig,Lamiaceae,Origanum vulgare,Random_census9,26,1200,3
Leipzig,Lamiaceae,Phlomis russeliana,Random_census5,23,750,3
Leipzig,Lamiaceae,Pycnanthemum tenuifolium,Random_census4,29,720,3
Leipzig,Lamiaceae,Pycnanthemum tenuifolium,Random_census5,32,320,3
Leipzig,Lamiaceae,Salvia officinalis,FocalNA,23,180,15
Leipzig,Lamiaceae,Salvia officinalis,FocalNA,24,60,15
Leipzig,Lamiaceae,Salvia pratensis,Random_census1,22,350,3
Leipzig,Lamiaceae,Salvia pratensis,Random_census10,21,4500,3
Leipzig,Lamiaceae,Salvia pratensis,Random_census3,22,200,3
Leipzig,Lamiaceae,Salvia pratensis,Random_census4,21,1100,3
Leipzig,Lamiaceae,Salvia pratensis,Random_census5,21,1100,3
Leipzig,Lamiaceae,Salvia ringens,Random_census8,29,38,3
Leipzig,Lamiaceae,Salvia sclarea,Random_census2,25,260,3
Leipzig,Lamiaceae,Salvia sclarea,Random_census5,26,660,3
Leipzig,Lamiaceae,Salvia verticillata,Random_census5,25,2530,3
Leipzig,Lamiaceae,Salvia verticillata,Random_census6,24,1360,3
Leipzig,Lamiaceae,Salvia verticillata,Random_census8,25,1800,3
Leipzig,Lamiaceae,Stachys byzantina,Random_census10,25,900,3
Leipzig,Lamiaceae,Stachys byzantina,Random_census3,23,868,3
Leipzig,Lamiaceae,Stachys byzantina,Random_census8,26,850,3
Leipzig,Lamiaceae,Teucrium marum,Random_census2,28,1500,3
Leipzig,Lamiaceae,Thymus praecox,Random_census9,32,260,3
Leipzig,Lamiaceae,Thymus pulegioides,Random_census6,22,250,3
Leipzig,Lamiaceae,Vitex negundo,Random_census10,32,17000,3
Leipzig,Lamiaceae,Vitex negundo,Random_census10,34,120000,3
Leipzig,Lamiaceae,Vitex negundo,Random_census8,31,17000,3
Leipzig,Lamiaceae,Vitex negundo,Random_census8,33,10000,3
Leipzig,Limnanthaceae,Limnanthes douglasii,Random_census10,22,4200,3
Leipzig,Limnanthaceae,Limnanthes douglasii,Random_census2,21,4000,3
Leipzig,Limnanthaceae,Limnanthes douglasii,Random_census4,20,315,3
Leipzig,Lythraceae,Cuphea viscosissima,Random_census2,33,9500,3
Leipzig,Lythraceae,Cuphea viscosissima,Random_census3,31,2200,3
Leipzig,Lythraceae,Cuphea viscosissima,Random_census6,34,2600,3
Leipzig,Lythraceae,Lythrum salicaria,Random_census6,33,95,3
Leipzig,Menyanthaceae,Menyanthes trifoliata,FocalNA,19,200,15
Leipzig,Oleaceae,Syringa persica,Random_census1,17,400,3
Leipzig,Paeoniaceae,Paeonia daurica,Random_census4,18,15,3
Leipzig,Paeoniaceae,Paeonia officinalis,FocalNA,19,22,15
Leipzig,Paeoniaceae,Paeonia officinalis,FocalNA,20,12,15
Leipzig,Papaveraceae,Corydalis cava,Random_census5,16,600,3
Leipzig,Papaveraceae,Papaver orientale,Random_census7,22,12,3
Leipzig,Plantaginaceae,Chaenorhinum origanifolium,Random_census9,24,780,3
Leipzig,Plantaginaceae,Penstemon grandiflorus,FocalNA,24,270,15
Leipzig,Plantaginaceae,Penstemon grandiflorus,FocalNA,25,280,15
Leipzig,Plantaginaceae,Penstemon grandiflorus,FocalNA,26,120,15
Leipzig,Plantaginaceae,Penstemon grandiflorus,FocalNA,27,38,15
Leipzig,Plantaginaceae,Veronica austriaca,Random_census1,24,860,3
Leipzig,Plantaginaceae,Veronica chamaedrys,Random_census9,18,150,3
Leipzig,Plantaginaceae,Veronica longifolia,Random_census6,29,156,3
Leipzig,Plantaginaceae,Veronica orchidea,Random_census5,29,220,3
Leipzig,Primulaceae,Primula denticulata,FocalNA,16,280,15
Leipzig,Primulaceae,Primula denticulata,FocalNA,17,270,15
Leipzig,Primulaceae,Primula denticulata,FocalNA,18,90,15
Leipzig,Primulaceae,Primula denticulata,FocalNA,19,20,15
Leipzig,Primulaceae,Primula veris,FocalNA,16,700,15
Leipzig,Primulaceae,Primula veris,FocalNA,17,160,15
Leipzig,Primulaceae,Primula veris,FocalNA,18,150,15
Leipzig,Ranunculaceae,Anemone hupehensis,FocalNA,28,28,15
Leipzig,Ranunculaceae,Anemone hupehensis,FocalNA,31,110,15
Leipzig,Ranunculaceae,Anemone hupehensis,FocalNA,32,110,15
Leipzig,Ranunculaceae,Anemone hupehensis,FocalNA,33,500,15
Leipzig,Ranunculaceae,Anemone hupehensis,FocalNA,34,250,15
Leipzig,Ranunculaceae,Anemonoides nemorosa,FocalNA,18,60,15
Leipzig,Ranunculaceae,Anemonoides sylvestris,FocalNA,19,225,15
Leipzig,Ranunculaceae,Aquilegia vulgaris,FocalNA,19,50,15
Leipzig,Ranunculaceae,Aquilegia vulgaris,FocalNA,20,94,15
Leipzig,Ranunculaceae,Aquilegia vulgaris,FocalNA,21,120,15
Leipzig,Ranunculaceae,Aquilegia vulgaris,FocalNA,22,80,15
Leipzig,Ranunculaceae,Aquilegia vulgaris,FocalNA,23,40,15
Leipzig,Ranunculaceae,Aquilegia vulgaris,FocalNA,25,40,15
Leipzig,Ranunculaceae,Aquilegia vulgaris,FocalNA,26,18,15
Leipzig,Ranunculaceae,Caltha palustris,FocalNA,15,7,30
Leipzig,Ranunculaceae,Caltha palustris,FocalNA,16,17,15
Leipzig,Ranunculaceae,Caltha palustris,FocalNA,17,30,15
Leipzig,Ranunculaceae,Caltha palustris,FocalNA,18,25,15
Leipzig,Ranunculaceae,Caltha palustris,FocalNA,20,30,15
Leipzig,Ranunculaceae,Eranthis hyemalis,FocalNA,23,800,15
Leipzig,Ranunculaceae,Eriocapitella tomentosa,Random_census10,27,16,3
Leipzig,Ranunculaceae,Helleborus foetidus,FocalNA,12,300,15
Leipzig,Ranunculaceae,Helleborus foetidus,FocalNA,14,250,15
Leipzig,Ranunculaceae,Helleborus foetidus,FocalNA,15,200,30
Leipzig,Ranunculaceae,Helleborus foetidus,FocalNA,16,25,15
Leipzig,Ranunculaceae,Helleborus foetidus,FocalNA,17,30,15
Leipzig,Ranunculaceae,Pulsatilla vulgaris,FocalNA,15,60,30
Leipzig,Ranunculaceae,Pulsatilla vulgaris,FocalNA,16,100,15
Leipzig,Ranunculaceae,Pulsatilla vulgaris,FocalNA,17,40,15
Leipzig,Ranunculaceae,Pulsatilla vulgaris,FocalNA,18,4,15
Leipzig,Ranunculaceae,Pulsatilla vulgaris,FocalNA,19,52,15
Leipzig,Ranunculaceae,Ranunculus ficaria,Random_census4,16,70,3
Leipzig,Rosaceae,Dasiphora fruticosa,Random_census2,25,75,3
Leipzig,Rosaceae,Fragaria vesca,FocalNA,19,14,15
Leipzig,Rosaceae,Potentilla glabra,Random_census4,24,75,3
Leipzig,Rosaceae,Potentilla glabra,Random_census9,21,280,3
Leipzig,Rosaceae,Potentilla kurdica,Random_census1,23,150,3
Leipzig,Rosaceae,Potentilla kurdica,Random_census2,24,80,3
Leipzig,Rosaceae,Potentilla kurdica,Random_census3,25,308,6
Leipzig,Rosaceae,Potentilla recta,Random_census6,23,140,3
Leipzig,Rosaceae,Potentilla sp,Random_census10,18,30,3
Leipzig,Rutaceae,Dictamnus albus,FocalNA,23,140,15
Leipzig,Rutaceae,Dictamnus albus,FocalNA,24,75,15
Leipzig,Rutaceae,Dictamnus albus,FocalNA,25,11,15
Leipzig,Rutaceae,Tetradium daniellii,Random_census8,32,500000,3
Leipzig,Saxifragaceae,Bergenia purpurascens,FocalNA,16,160,15
Leipzig,Scrophulariaceae,Verbascum nigrum,Random_census2,27,120,3
Leipzig,Solanaceae,Nicotiana tabacum,Random_census5,28,220,3
Leipzig,Solanaceae,Scopolia carniolica,FocalNA,14,140,15
Leipzig,Solanaceae,Solanum incanum,Random_census4,27,1400,3
Leipzig,Tropaeolaceae,Tropaeolum majus,Random_census7,34,850,3
Leipzig,Verbenaceae,Verbena hastata,Random_census6,32,120,3
Leipzig,Violaceae,Viola striata,Random_census10,19,2700,3
Leipzig,Violaceae,Viola striata,Random_census10,20,800,3
Leipzig,Violaceae,Viola striata,Random_census9,23,880,3
