Botanical_garden,Species,Number_unique_spp,Replicate,Method,Time,Date,Floral_unit,Nectar_length_microcap,Opened_florets,Observer,Reference_nectar
Leipzig,Silene vulgaris,51,1,bagged,17:00,09/06/2023,flower,3.92,NA,JB Lanuza,NA
Leipzig,Silene vulgaris,51,2,bagged,17:00,09/06/2023,flower,16.82,NA,JB Lanuza,NA
Leipzig,Silene vulgaris,51,3,bagged,10:00,23/06/2023,flower,24.36,NA,JB Lanuza,NA
Leipzig,Penstemon grandiflorus,52,1,bagged,14:00,21/06/2023,flower,16.33,NA,JB Lanuza,NA
Leipzig,Penstemon grandiflorus,52,2,bagged,14:00,21/06/2023,flower,37.20,NA,JB Lanuza,NA
Leipzig,Penstemon grandiflorus,52,3,bagged,14:00,21/06/2023,flower,23.02,NA,JB Lanuza,NA
Leipzig,Psephellus dealbatus,53,1,unbagged,10:00,23/06/2023,flower,0,,JB Lanuza,NA
Leipzig,Psephellus dealbatus,53,2,unbagged,10:00,23/06/2023,flower,0,,JB Lanuza,NA
Leipzig,Psephellus dealbatus,53,3,unbagged,10:00,23/06/2023,flower,0,,JB Lanuza,NA
Halle,Centranthus ruber,54,1,bagged,12:00,23/06/2023,flower,7.18,NA,JB Lanuza,NA
Halle,Centranthus ruber,54,2,bagged,12:00,23/06/2023,flower,4,NA,JB Lanuza,NA
Halle,Centranthus ruber,54,3,bagged,12:00,23/06/2023,flower,1.97,NA,JB Lanuza,NA
Jena,Silene nutans,55,1,bagged,11:00,,flower,21,NA,JB Lanuza & J Naumann,NA
Jena,Silene nutans,55,2,bagged,11:00,,flower,21,NA,JB Lanuza & J Naumann,NA
Halle,Hypericum perforatum,56,1,bagged,11:30,01/07/2023,flower,0,NA,JB Lanuza,NA
Halle,Hypericum perforatum,56,2,bagged,11:30,01/07/2023,flower,0,NA,JB Lanuza,NA
Halle,Hypericum perforatum,56,3,bagged,11:30,01/07/2023,flower,0,NA,JB Lanuza,NA
Jena,Hypericum olympicum,57,1,bagged,14:00,28/06/2023,flower,0,NA,JB Lanuza,NA
Jena,Hypericum olympicum,57,2,bagged,14:00,28/06/2023,flower,0,NA,JB Lanuza,NA
Jena,Hypericum olympicum,57,3,bagged,14:00,28/06/2023,flower,0,NA,JB Lanuza,NA
Jena,Clematis recta,58,1,bagged,16:00,19/06/2023,flower,0,NA,JB Lanuza,NA
Jena,Clematis recta,58,2,bagged,16:00,19/06/2023,flower,0,NA,JB Lanuza,NA
Jena,Clematis recta,58,3,bagged,16:00,19/06/2023,flower,0,NA,JB Lanuza,NA
Jena,Salvia pratensis,59,1,bagged,10:00,12/06/2023,flower,17,NA,J Naumann,NA
Leipzig,Silene coronaria,60,1,bagged,10:00,06/07/2023,flower,0,NA,JB Lanuza,NA
Leipzig,Silene coronaria,60,2,bagged,10:00,06/07/2023,flower,0.98,NA,JB Lanuza,NA
Leipzig,Silene coronaria,60,3,bagged,10:00,06/07/2023,flower,0.2,NA,JB Lanuza,NA
Jena,Genista tinctoria,61,1,bagged,15:00,04/07/2023,flower,0,NA,JB Lanuza,NA
Jena,Genista tinctoria,61,2,bagged,15:00,04/07/2023,flower,0,NA,JB Lanuza,NA
Jena,Genista tinctoria,61,3,bagged,15:00,04/07/2023,flower,0,NA,JB Lanuza,NA
Halle,Fuchsia magellanica,62,1,bagged,19:00,07/07/2023,flower,236.3,NA,JB Lanuza,NA
Halle,Fuchsia magellanica,62,2,bagged,19:00,07/07/2023,flower,346.37,NA,JB Lanuza,NA
Halle,Hemerocallis fulva,63,1,bagged,13:00,07/07/2023,flower,103,NA,JB Lanuza,NA
Halle,Hemerocallis fulva,63,2,bagged,13:00,07/07/2023,flower,498.52,NA,JB Lanuza,NA
Halle,Dianthus carthusianorum,64,1,bagged,12:00,07/07/2023,flower,1.2,NA,JB Lanuza,NA
Halle,Dianthus carthusianorum,64,2,bagged,12:00,07/07/2023,flower,0.9,NA,JB Lanuza,NA
Halle,Dianthus carthusianorum,64,3,bagged,12:00,07/07/2023,flower,6.44,NA,JB Lanuza,NA
Halle,Dianthus carthusianorum,64,4,bagged,12:00,07/07/2023,flower,1.85,NA,JB Lanuza,NA
Halle,Dianthus carthusianorum,64,5,bagged,12:00,07/07/2023,flower,7.62,NA,JB Lanuza,NA
Leipzig,Anthericum ramosum,65,1,bagged,12:00,12/07/2023,flower,1.93,NA,JB Lanuza,NA
Leipzig,Anthericum ramosum,65,2,bagged,12:00,12/07/2023,flower,4.55,NA,JB Lanuza,NA
Leipzig,Anthericum ramosum,65,3,bagged,12:00,12/07/2023,flower,2.22,NA,JB Lanuza,NA
Leipzig,Anthericum ramosum,65,4,bagged,12:00,12/07/2023,flower,2.51,NA,JB Lanuza,NA
Leipzig,Anthericum ramosum,65,5,bagged,12:00,12/07/2023,flower,2.66,NA,JB Lanuza,NA
Halle,Saponaria officinalis,66,1,bagged,10:30,08/07/2023,flower,27.96,NA,JB Lanuza,NA
Halle,Saponaria officinalis,66,2,bagged,10:30,08/07/2023,flower,2.24,NA,JB Lanuza,NA
Halle,Saponaria officinalis,66,3,bagged,10:30,08/07/2023,flower,16.45,NA,JB Lanuza,NA
Jena,Coronilla varia,67,1,bagged,13:00,18/07/2023,flower,0,NA,JB Lanuza & J Naumann,NA
Jena,Coronilla varia,67,2,bagged,13:00,18/07/2023,flower,0,NA,JB Lanuza & J Naumann,NA
Jena,Coronilla varia,67,3,bagged,13:00,18/07/2023,flower,0,NA,JB Lanuza & J Naumann,NA
Halle,Clematis integrifolia,68,1,bagged,11:00,08/07/2023,flower,0,NA,JB Lanuza,NA
Halle,Clematis integrifolia,68,2,bagged,11:00,08/07/2023,flower,0,NA,JB Lanuza,NA
Halle,Clematis integrifolia,68,3,bagged,11:00,08/07/2023,flower,0,NA,JB Lanuza,NA
Leipzig,Lavandula angustifolia,69,1,bagged,10:30,24/07/2023,flower,8.6,NA,JB Lanuza,NA
Leipzig,Lavandula angustifolia,69,2,bagged,10:30,24/07/2023,flower,10.54,NA,JB Lanuza,NA
Leipzig,Lavandula angustifolia,69,3,bagged,10:30,24/07/2023,flower,8.75,NA,JB Lanuza,NA
Leipzig,Anemone hupehensis ,70,1,bagged,11:00,24/07/2023,flower,0,NA,JB Lanuza,NA
Leipzig,Anemone hupehensis ,70,2,bagged,11:00,24/07/2023,flower,0,NA,JB Lanuza,NA
