Botanical_garden,Species,Number_unique_spp,Plant_height_mm,Info,Flower_number,Flower_inflorescence,Flower_width,Flower_length,Floral_tube_length,Floral_tube_width,Flower_colour,Symmetry,Flower_shape,Flower_orientation,Flowering_start,Flowering_end,Flower_life_start,Flower_life_end,Flower_life_span_days,Flower_life_span_days_ref,Pistil_number,Pistil_length,Style_length,Ovary_length,Stigma_length,Stamen_number,Stamen_length,Filament_length,Anther_length,Herkogamy_above,Herkogamy_length,Herkogamy_width,Ovule_number/flower,Ovule_number/floral_unit,Ovule_length,Ovule_width,Ovule_image,Ovule_ref
Jena,Salvia pratensis,59,1200,Flower,1290,30,22.99,23.22,11.19,1.48,purple,Zygomorphic,tubular,Horizontal,17/05/2023,10/06/2023,15/06/2023,19/06/2023,to_calculate,NA,1,23,20,2.32,3,2,16.78,16.78,3.50,stigma,5.5,0,4,4,0.4,0.3,https://www.dropbox.com/scl/fi/kl557n8cl139eg2ujuyra/SAPR.JPG?rlkey=y53q5epbjesls6hhrna49xd57&dl=0,NA
Jena,Salvia pratensis,59,NA,Flower,NA,NA,NA,NA,NA,NA,NA,Zygomorphic,tubular,Horizontal,17/05/2023,10/06/2023,14/06/2023,18/06/2023,to_calculate,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jena,Salvia pratensis,59,NA,Flower,NA,NA,NA,NA,NA,NA,NA,Zygomorphic,tubular,Horizontal,17/05/2023,10/06/2023,14/06/2023,18/06/2023,to_calculate,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leipzig,Silene coronaria,60,370,Flower,4,1,24.83,17.18,17.18,1.05,white-pink,Actinomorphic,tubular,Upward,10/06/2023,15/07/2023,29/06/2023,05/07/2023,to_calculate,NA,1,5.37,2.75,2.85,0.1,9,5.84,4.14,1.70,anther,1.8,0,372,372,0.4,0.4,https://www.dropbox.com/scl/fi/qo3ge4hwrjy9s32l3gg4s/SICO.JPG?rlkey=1ymkpufw78rahx68mvurbgon4&dl=0,NA
Leipzig,Silene coronaria,60,310,Flower,6,3,21.84,15.90,15.90,2.01,white-pink,Actinomorphic,tubular,Upward,10/06/2023,15/07/2023,29/06/2023,05/07/2023,to_calculate,NA,1,12.45,7.47,4.89,0.1,9,11.75,10.35,1.4,none,0,1,NA,NA,NA,NA,NA,NA
Leipzig,Silene coronaria,60,450,Flower,24,5,27.54,17.30,17.30,0.7,white-pink,Actinomorphic,tubular,Upward,10/06/2023,15/07/2023,29/06/2023,05/07/2023,to_calculate,NA,1,5.69,3.61,2.98,0.1,9,10.89,9.05,1.84,anther,0.7,0,NA,NA,NA,NA,NA,NA
Jena,Genista tinctoria,61,700,Flower,300,15,10.38,12.82,3.97,0.5,yellow,Zygomorphic,tubular,Upward,10/06/2023,14/07/2023,30/06/2023,02/07/2023,to_calculate,NA,1,11.83,2.8,8.14,0.5,10,3,2,1,stigma,2.05,0,18,18,0.4,0.2,https://www.dropbox.com/scl/fi/ggt42psj1v5k8ar2zrw3b/GETI.JPG?rlkey=ai39ef7hzvokmfvlhai3ubjhz&dl=0,NA
Jena,Genista tinctoria,61,NA,Flower,NA,NA,NA,NA,NA,NA,yellow,Zygomorphic,tubular,Upward,10/06/2023,14/07/2023,30/06/2023,02/07/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jena,Genista tinctoria,61,NA,Flower,NA,NA,NA,NA,NA,NA,yellow,Zygomorphic,tubular,Upward,10/06/2023,14/07/2023,30/06/2023,02/07/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halle,Fuchsia magellanica,62,1500,Flower,7500,10,46.58,31.31,31.31,4.6,pink,Actinomorphic,tubular,Downward,NA,NA,02/07/2023,07/07/2023,to_calculate,NA,1,54.1,45.38,8.4,2.85,8,30.75,27.27,3.78,stigma,3.4,0,111,111,0.4,0.3,https://www.dropbox.com/scl/fi/3ne8dbylnrvva9shcasjn/FUMA.JPG?rlkey=e37zgnxwnekzkocddle01k7ut&dl=0,NA
