Garden,Date,Doy,Species,Initial vegetative growth,Young leaves unfolding,Flowers opening,Flowering intensity,Ripe fruits,Senescence,Senescence intensity,Maintenance,Remarks
Halle,10.01.2023,10,Arum italicum,no,y,no,,no,no,,,
Halle,10.01.2023,10,Hepatica nobilis,no,no,no,,no,no,,,
Halle,10.01.2023,10,Asarum europaeum,no,no,no,,no,no,,,
Halle,10.01.2023,10,Polygonatum multiflorum,no,no,no,,no,no,,,
Halle,10.01.2023,10,Convallaria majalis,no,no,no,,no,no,,,
Halle,10.01.2023,10,Leucojum vernum,no,no,no,,no,no,,,
Halle,10.01.2023,10,Crocus speciosus,no,y,no,,no,no,,,
Halle,10.01.2023,10,Fragaria vesca,no,y,no,,no,y,30,,
Halle,10.01.2023,10,Leucojum aestivum,no,no,no,,no,no,,,
Halle,10.01.2023,10,Galanthus ikariae,y,y,no,,no,no,,,
Halle,10.01.2023,10,Colchicum autumnale,u,no,no,,no,no,,,
Halle,10.01.2023,10,Galanthus plicatus,y,y,no,,no,no,,,
Halle,18.01.2023,18,Podophyllum peltatum,y,no,no,,no,no,,,
Halle,18.01.2023,18,Lathyrus vernus,y,y,no,,no,no,,,
Halle,18.01.2023,18,Trollius europaeus,no,no,no,,no,no,,,
Halle,18.01.2023,18,Anemone hupenhensis,no,no,no,,no,no,,,
Halle,18.01.2023,18,Carex sylvatica,no,y,no,,no,y,5,,
Halle,18.01.2023,18,Anemone nemorosa,no,no,no,,no,no,,,
Halle,18.01.2023,18,Corydalis solida,no,no,no,,no,no,,,
Halle,18.01.2023,18,Hepatica transsilvanica,no,no,no,,no,y,30,,
Halle,18.01.2023,18,Arum italicum,no,y,no,,no,no,,,
Halle,18.01.2023,18,Hepatica nobilis,no,no,no,,no,no,,,
Halle,18.01.2023,18,Asarum europaeum,no,no,no,,no,no,,,
Halle,18.01.2023,18,Polygonatum multiflorum,no,no,no,,no,no,,,
Halle,18.01.2023,18,Convallaria majalis,no,no,no,,no,no,,,
Halle,18.01.2023,18,Leucojum vernum,y,y,no,,no,no,,,
Halle,18.01.2023,18,Crocus speciosus,no,y,no,,no,no,,,
Halle,18.01.2023,18,Fragaria vesca,no,y,no,,no,y,30,,
Halle,18.01.2023,18,Leucojum aestivum,no,no,no,,no,no,,,
Halle,18.01.2023,18,Galanthus ikariae,y,y,no,,no,no,,,
Halle,18.01.2023,18,Colchicum autumnale,y,y,no,,no,no,,,
Halle,18.01.2023,18,Galanthus plicatus,y,y,no,,no,no,,,
Halle,25.01.2023,25,Crocus speciosus,no,no,no,,no,no,,,
Halle,25.01.2023,25,Fragaria vesca,no,y,no,,no,y,30,,
Halle,25.01.2023,25,Leucojum aestivum,y,y,no,,no,no,,,
Halle,25.01.2023,25,Galanthus ikariae,no,y,no,,no,no,,,
Halle,25.01.2023,25,Podophyllum peltatum,y,no,no,,no,no,,,
Halle,25.01.2023,25,Lathyrus vernus,y,y,no,,no,no,,,
Halle,25.01.2023,25,Trollius europaeus,no,no,no,,no,no,,,
Halle,25.01.2023,25,Anemone hupenhensis,no,no,no,,no,no,,,
Halle,25.01.2023,25,Carex sylvatica,no,y,no,,no,no,,,
Halle,25.01.2023,25,Anemone nemorosa,no,no,no,,no,no,,,
Halle,25.01.2023,25,Corydalis solida,no,no,no,,no,no,,,asked a gardener to reseed
Halle,25.01.2023,25,Hepatica transsilvanica,no,no,no,,no,y,35,,
Halle,25.01.2023,25,Arum italicum,no,y,no,,no,no,,,
Halle,25.01.2023,25,Hepatica nobilis,no,no,no,,no,y,40,,monitoring started
Halle,25.01.2023,25,Asarum europaeum,no,no,no,,no,y,10,,from now on observation of another plant in another place; existing plant surrounded by construction site
Halle,25.01.2023,25,Polygonatum multiflorum,no,no,no,,no,no,,,
Halle,25.01.2023,25,Convallaria majalis,no,no,no,,no,no,,,
Halle,25.01.2023,25,Leucojum vernum,no,y,no,,no,no,,,
Halle,25.01.2023,25,Colchicum autumnale,y,y,no,,no,no,,,
Halle,25.01.2023,25,Galanthus plicatus,no,y,no,,no,no,,,
Halle,01.02.2023,32,Podophyllum peltatum,y,no,no,,no,no,,,
Halle,01.02.2023,32,Lathyrus vernus,no,y,no,,no,no,,,
Halle,01.02.2023,32,Trollius europaeus,no,no,no,,no,no,,,
Halle,01.02.2023,32,Anemone hupenhensis,no,no,no,,no,no,,,
Halle,01.02.2023,32,Carex sylvatica,no,y,no,,no,no,,,
Halle,01.02.2023,32,Anemone nemorosa,no,no,no,,no,no,,,
Halle,01.02.2023,32,Corydalis solida,no,no,no,,no,no,,,
Halle,01.02.2023,32,Hepatica transsilvanica,no,no,no,,no,y,35,,
Halle,01.02.2023,32,Arum italicum,no,y,no,,no,no,,,
Halle,01.02.2023,32,Hepatica nobilis,no,no,no,,no,y,45,,
Halle,01.02.2023,32,Asarum europaeum,no,no,no,,no,y,10,,
Halle,01.02.2023,32,Polygonatum multiflorum,no,no,no,,no,no,,,
Halle,01.02.2023,32,Convallaria majalis,no,no,no,,no,no,,,
Halle,01.02.2023,32,Leucojum vernum,no,y,no,,no,no,,,
Halle,01.02.2023,32,Crocus speciosus,no,no,no,,no,no,,,
Halle,01.02.2023,32,Fragaria vesca,no,y,no,,no,y,30,,
Halle,01.02.2023,32,Leucojum aestivum,no,y,no,,no,no,,,
Halle,01.02.2023,32,Galanthus ikariae,no,y,no,,no,no,,,
Halle,01.02.2023,32,Colchicum autumnale,y,y,no,,no,no,,,
Halle,01.02.2023,32,Galanthus plicatus,no,y,no,,no,no,,,
Halle,07.02.2023,38,Podophyllum peltatum,y,no,no,,no,no,,,
Halle,07.02.2023,38,Lathyrus vernus,no,y,no,,no,no,,,
Halle,07.02.2023,38,Trollius europaeus,no,no,no,,no,no,,,
Halle,07.02.2023,38,Anemone hupenhensis,no,no,no,,no,no,,,
Halle,07.02.2023,38,Carex sylvatica,no,y,no,,no,no,,,
Halle,07.02.2023,38,Anemone nemorosa,no,no,no,,no,no,,,
Halle,07.02.2023,38,Corydalis solida,no,no,no,,no,no,,,"talked with gardener 2 weeks ago, she wants to reseed."
Halle,07.02.2023,38,Hepatica transsilvanica,no,no,no,,no,y,40,,
Halle,07.02.2023,38,Arum italicum,no,y,no,,no,no,,,
Halle,07.02.2023,38,Hepatica nobilis,no,no,no,,no,y,45,,
Halle,07.02.2023,38,Asarum europaeum,no,no,no,,no,y,10,,
Halle,07.02.2023,38,Polygonatum multiflorum,no,no,no,,no,no,,,
Halle,07.02.2023,38,Convallaria majalis,no,no,no,,no,no,,,
Halle,07.02.2023,38,Leucojum vernum,no,y,no,,no,no,,,
Halle,07.02.2023,38,Crocus speciosus,no,y,no,,no,no,,,
Halle,07.02.2023,38,Fragaria vesca,no,y,no,,no,y,35,,
Halle,07.02.2023,38,Leucojum aestivum,no,y,no,,no,no,,,
Halle,07.02.2023,38,Galanthus ikariae,no,y,no,,no,no,,,flower buds!
Halle,07.02.2023,38,Colchicum autumnale,y,y,no,,no,no,,,
Halle,07.02.2023,38,Galanthus plicatus,no,y,no,,no,no,,,flower buds!
Halle,16.02.2023,47,Podophyllum peltatum,y,no,no,,no,no,,,
Halle,16.02.2023,47,Lathyrus vernus,no,y,no,,no,no,,,
Halle,16.02.2023,47,Trollius europaeus,no,no,no,,no,no,,,
Halle,16.02.2023,47,Anemone hupenhensis,no,no,no,,no,no,,,
Halle,16.02.2023,47,Carex sylvatica,no,y,no,,no,y,5,,
Halle,16.02.2023,47,Anemone nemorosa,no,no,no,,no,no,,,
Halle,16.02.2023,47,Corydalis solida,no,no,no,,no,no,,,
Halle,16.02.2023,47,Hepatica transsilvanica,no,no,no,,no,y,40,,
Halle,16.02.2023,47,Arum italicum,no,y,no,,no,no,,,
Halle,16.02.2023,47,Hepatica nobilis,no,no,no,,no,y,55,,
Halle,16.02.2023,47,Asarum europaeum,y,no,no,,no,y,10,,
Halle,16.02.2023,47,Polygonatum multiflorum,no,no,no,,no,no,,,
Halle,16.02.2023,47,Convallaria majalis,no,no,no,,no,no,,,
